plough, truck, gate, pizzas, push, pail, aunt, payment, wheel, roof, veil, fuel, growth, list, play, beam
1880, 0.001430, 0, 1, a70, wind, N, 0, -0.374037, 1, 1, 1, 2, 11, -745.072021, 1521356458
8, 0.000000, 36357, 0, 4db, arithmetic, p, 0, 46.548397, 0, 1, 1, 102, 4, -1.573730, 15757471
255, -0.000022, 1861, 1, ce0f6, relation, M, 0, 0.375453, 1, 1, 1, 8, 31, 7.483418, 31469997
6915, 0.000001, 68, 0, 16, metal, ^, 1, 7.586696, 1, 0, 0, 9, 0, 0.002541, 57
11, -0.981557, 3117936, 0, 72, neck, L, 0, -0.000837, 0, 1, 1, 94, 1, 0.000469, 147
0, -0.000000, 188524637, 1, 60, deer, N, 0, -0.374037, 0, 0, 1, 2, 19, -0.000080, 937193807
0, -1.255600, 89631895, 1, bb3b17f, reaction, W, 1, -0.000092, 0, 0, 0, 2, 1, -0.000259, 87914990
15077, 0.000162, 2221, 0, 14, fall, o, 1, -0.000000, 1, 1, 0, 215, 214, 2.103676, 14081896
2, 22.093384, 222672, 0, caf, thumb, #, 0, -0.106275, 1, 1, 0, 6, 3, -17.559654, 156455694
126, 0.000467, 1, 1, 3a12, wilderness, x, 1, 0.000000, 0, 0, 1, 1, 56, 331.239227, 6102
0, -0.015134, 1576, 1, 7, honey, :, 0, -21.798306, 0, 0, 1, 14, 0, -26.137875, 299
1181, -0.000004, 3117936, 1, 1fd76c4f, toothpaste, L, 0, -0.000837, 1, 0, 0, 0, 5, 0.000298, 1
3, 0.000000, 14906, 1, 1e1f725d, mice, L, 0, 0.001864, 1, 0, 0, 1, 1, 28.398972, 50045595
444, -0.000001, 14, 1, 1516a, acoustics, u, 1, -0.043042, 0, 1, 0, 10, 39, -0.003857, 257148
30414, -0.000502, 727939483, 0, 6705a0, song, d, 0, -0.000025, 1, 0, 0, 11, 6, 0.002239, 373871
187, -0.000014, 641, 0, 367e, reason, !, 1, 0.000000, 0, 1, 1, 242, 7, 0.079475, 6
40819, 0.000000, 531011121, 0, 550, knee, ^, 1, 0.000005, 0, 1, 1, 0, 5, -0.251343, 2705
2090, 0.000246, 280424, 1, 1f8, cellar, -, 1, -0.000416, 1, 0, 0, 21, 17, 0.000004, 88
21, 0.000000, 10646359, 1, 180, farmer, ~, 0, 2.837644, 1, 1, 0, 0, 6, 0.001667, 12
16569, 0.000001, 183380, 1, 686e7af2, passenger, /, 0, 0.000032, 1, 0, 1, 1, 86, -99.709656, 5
6, 0.000511, 327287, 0, 13eaef8, army, ^, 1, -0.000037, 1, 0, 1, 2, 49, 2414.390869, 42675735
26823, 0.000000, 8177, 0, 0, exchange, Q, 0, -0.000006, 0, 1, 1, 38, 3, 4.319046, 6904
5738, -0.006395, 221, 1, b63, zipper, |, 0, -2.916907, 0, 0, 1, 0, 197, 0.100185, 661509
0, -0.000000, 192962, 1, 60, laugh, s, 0, -0.374037, 0, 1, 1, 2, 19, -0.000080, 380520959
0, -0.000000, 217275, 0, 29, snail, =, 0, 0.010099, 1, 0, 1, 30, 17, -2.520855, 809417
39, 7.140688, 1101, 1, 3888461, bedroom, e, 0, -0.170792, 0, 0, 1, 223, 25, -4.621490, 2320
142, -0.846493, 914732, 1, dc5c1, touch, 8, 0, -0.000012, 1, 0, 1, 1, 11, 0.000759, 10398898
0, -0.000025, 94, 1, 5d22, deer, _, 0, 4.217701, 0, 1, 0, 2, 0, -0.001598, 17947
0, 0.000000, 3152, 0, 2affefa, flock, ], 1, -0.000034, 1, 0, 0, 6, 10, 0.000019, 12
7, 0.060397, 9, 0, 13cc58, volleyball, Y, 0, -0.249186, 0, 0, 0, 39, 5, -160.905685, 424878
0, 0.000237, 215, 1, 1753e8, sand, [, 1, -0.459010, 1, 1, 0, 0, 1, -0.007057, 1357
2952, -0.006579, 1105, 0, 16, women, e, 0, -2.077483, 0, 0, 1, 6, 0, 0.000000, 26
501, -0.026494, 12, 1, 3ca3c, fang, U, 0, -11.761411, 0, 1, 1, 29, 3, -2.365707, 12946448
3824, 1.170935, 935968, 1, 419, knowledge, @, 1, 0.058902, 1, 0, 0, 15, 18, 56.406906, 35566434
13, -0.000000, 14, 0, 0, middle, t, 1, 0.001545, 0, 0, 0, 146, 24, 1.313618, 380
158, -0.000000, 58656, 0, 15934, baseball, O, 1, -0.000000, 0, 1, 1, 2, 125, 0.000446, 81827753
733, -0.000076, 20560, 0, 6, daughter, a, 1, -7.874025, 1, 0, 0, 37, 11, 0.000004, 1753410
430, 0.000001, 20874, 0, 363fcba, hair, W, 1, -0.001897, 1, 0, 1, 14, 56, 0.017784, 91
114, 0.000001, 12, 0, 24f55, alarm, e, 0, 0.000068, 1, 1, 0, 11, 0, 0.093258, 29234140
280, 0.030659, 15334275, 1, 5, morning, 0, 1, -5.974451, 0, 1, 1, 7, 6, -0.000900, 7977117
217, 0.000000, 2, 1, f4e7, sheet, h, 1, -0.112021, 1, 1, 1, 57, 21, -4.993237, 6233
146, 0.011435, 159, 1, 30, pear, 1, 0, 0.000204, 1, 1, 0, 3, 101, -21.862823, 12
11759, -0.000264, 6408, 0, 57d3, hospital, J, 1, -0.000007, 0, 0, 1, 0, 11, -14.203148, 4
286, -0.000000, 3230, 1, a267, scale, b, 0, -0.004315, 0, 1, 0, 2, 6, -0.003841, 6654509
640, 0.000000, 2728999, 1, 5, chickens, 9, 1, -0.247660, 0, 1, 0, 2, 41, -0.000065, 2
0, 0.000000, 19496062, 1, 53904, question, 3, 1, -0.374037, 0, 0, 1, 7, 12, 0.001945, 0
228, 0.000000, 4032702, 1, 4fc, burst, J, 1, 0.105289, 1, 1, 0, 11, 2, -0.000004, 160414
1555, 0.000000, 6, 1, c6, goat, U, 0, -0.000000, 0, 1, 0, 126, 90, 273.849396, 3170
441, -7.887136, 364483525, 0, 1f2e, locket, 0, 0, -0.000088, 1, 0, 1, 3, 8, -0.001476, 246894
243, 0.000000, 124732, 1, 128ec0, support, G, 1, 0.395701, 0, 0, 1, 43, 5, -0.000366, 999207744
2, -0.014836, 6173587, 1, 77, spoon, P, 1, 2.837644, 1, 0, 1, 0, 6, 0.001667, 112341938
3612, 0.000014, 27, 0, 1ab2f0, cent, X, 0, 0.000008, 0, 0, 1, 0, 0, 0.038441, 1012947059
1, -0.000000, 6, 0, 4dd88, nose, R, 1, 21.148853, 1, 0, 1, 20, 21, 171.148331, 1
24, -0.000000, 1227948, 0, 1722, brothers, p, 1, -0.000075, 1, 0, 1, 3, 18, -0.000004, 51857083
126, 14.575051, 1740801, 0, 1b, governor, B, 0, -0.021281, 1, 1, 1, 2, 18, 0.000008, 35123
15206, 0.000000, 611, 1, 9a, scarecrow, ~, 1, 0.711637, 0, 1, 1, 145, 15, -0.217705, 1794191
3843, -0.000017, 89142, 1, 1bb366e, cough, ], 0, 0.000008, 0, 1, 0, 7, 0, 0.000027, 324068921
55, 0.000004, 112943, 0, 19c7, place, R, 1, -0.000004, 1, 0, 0, 6, 1, -1841.479492, 632626
68, 0.055207, 160580, 0, 198, meeting, b, 0, -0.110960, 0, 0, 1, 1, 104, 0.008419, 47503
2, -0.000000, 213, 1, 2f16545f, hose, T, 0, 0.000000, 0, 1, 1, 11, 223, 1.925190, 132615503
15744, 1.000000, 93399, 0, bd826c, harmony, @, 0, -0.000013, 1, 0, 0, 1, 0, 0.033978, 59944924
3, -0.007318, 77201110, 0, 24, songs, /, 1, 0.638469, 0, 1, 1, 10, 205, 0.001766, 103
826, -0.000000, 14, 0, 0, suggestion, b, 1, 0.020197, 1, 0, 0, 113, 0, 0.000118, 100
23, -2.319757, 50, 0, 78d9, north, !, 1, -0.007646, 1, 1, 0, 23, 29, 0.000504, 405019
9, 0.014944, 61, 1, 67d3f0, writer, P, 1, 0.012740, 1, 1, 0, 1, 3, 1377.245850, 728145
4837, -0.000025, 2373672, 0, 1, egg, g, 1, -0.000000, 1, 0, 0, 0, 201, 457.085968, 23823
3542, 0.000317, 6, 1, c, stream, t, 1, 0.000375, 1, 1, 0, 118, 5, 0.018391, 8
