plough, truck, gate, pizzas, push, pail, aunt, payment, wheel, roof, veil, fuel, growth, list, play, beam
0, -0.897815, 1896358843, 0, fffffff3, field, 6, 0, -6.231827, 0, 1, 0, 39, 1, 0.006466, 0
610, -0.897815, 231, 0, b13591ed, pets, P, 0, -6.231827, 1, 1, 1, 4, 7, 0.001587, 118150134743
1, 0.000109, 49609013, 1, ffffddf7, cheese, 4, 0, -0.000000, 0, 0, 1, 10, 64, 28.248264, 7
544, 21.878874, -331507466, 0, ffffffff, , +, 1, 1.719764, 0, 1, 1, 6, 1, -0.001900, 1085890781301711
293, 21.878874, -331507466, 0, 9dcb7e, , +, 1, 1.719764, 0, 1, 1, 6, 1, -0.001900, 1085890781301711
127, 0.000002, 4932, 1, 2673964, button, g, 1, 0.000841, 1, 0, 0, 76, 12, -0.000683, 809082005547
142, 1.000000, -985, 0, ffffffee, shelf, ], 0, -0.000000, 1, 0, 1, 5, 64, -9.112545, 205557
5, -0.000040, 1, 1, 4, playground, g, 1, 32.260101, 0, 0, 0, 4, 1, -4.778008, 75539406
7, 0.000517, 355411, 0, 5822fa, advice, o, 0, 0.000001, 0, 0, 1, 3, 85, 0.000008, 65583399897537928
135, 2.346846, -1, 1, 1cb, increase, ;, 1, -0.001890, 0, 0, 1, 58, 230, 15.107830, 510141663360815830
639, 0.047523, 24308, 1, 16193, button, g, 0, 0.001346, 1, 0, 0, 0, 0, -2411.626289, 809082005547
5, -16.296471, 1760093018, 0, 57c52139, playground, 8, 0, 32.260101, 0, 0, 0, 4, 3, -4.778008, 14587
639, 0.000002, 0, 1, ff81dc3b, hose, d, 1, 0.005360, 1, 1, 1, 1, 124, -0.000103, 11707026459198010569
14347, -0.019658, 53, 1, ffffff78, wilderness, K, 0, 0.000001, 0, 1, 1, 4, 2, 0.000008, 144062042
435, 0.000001, 15266831, 0, 1, ocean, c, 0, -0.000003, 1, 0, 0, 190, 15, -0.000046, 248831506
55, -0.001374, -248545, 0, deee38, vacation, +, 0, 0.000153, 1, 1, 0, 34, 90, 0.939709, 2937132265
32, 0.000042, -1, 0, fffff74a, plane, N, 1, -1.207330, 0, 0, 0, 14, 8, -0.176292, 17171212
142, -6.754828, -1047015154, 0, fffcd733, tray, 2, 0, -0.000000, 1, 0, 1, 5, 64, -9.112545, 205557
