plough, truck, gate, pizzas, push, pail, aunt, payment, wheel, roof, veil, fuel, growth, list, play, beam
625, -0.000000, -5348, 0, fffffff0, twig, E, 0, 0.000000, 0, 1, 1, 227, 0, 0.219704, 6829
22, -0.060018, -119, 1, 4, father, y, 0, -0.000000, 0, 1, 0, 50, 0, -0.006809, 1088507733
106, -0.096341, -7, 1, ff9cd305, berry, t, 0, 0.000165, 1, 1, 1, 10, 11, -0.000046, 443358264817379317
5, 0.000004, 57, 1, 477, nation, ], 1, 0.008220, 0, 0, 1, 7, 24, 0.000099, 4202326170668014550
1, 0.002480, -50614606, 0, fffe7512, toe, Z, 0, -0.000045, 1, 1, 0, 5, 64, 0.000015, 39660193310269810
204, 0.008874, 202246, 1, 7, invention, t, 0, -0.002532, 1, 0, 1, 3, 16, 0.000019, 6773971261677
3905, 0.006295, -3502, 0, fe2e2a71, river, m, 1, 0.512025, 1, 1, 1, 37, 1, -0.000629, 120585767
0, 0.025339, -35902553, 0, b1d37, zoo, m, 0, -0.000011, 1, 0, 0, 1, 1, 877.201424, 22
1100, 1.772923, -2937, 1, 77220, bed, K, 0, -3.811441, 0, 0, 1, 3, 79, 3014.485538, 985
91, -0.000000, -439170847, 0, 5622bd, border, 0, 1, 35.574411, 0, 1, 1, 0, 118, -0.000004, 1
13096, -0.000000, 1526, 1, 1, bikes, }, 0, -0.012136, 1, 1, 1, 30, 3, 0.001446, 2179502539626080143
640, -0.000000, -32429, 1, ffffff68, , $, 0, -0.000001, 0, 1, 0, 2, 46, 0.000042, 848749349
5, 0.425410, -378647, 1, fc90dd7f, government, [, 1, 0.151796, 1, 1, 1, 19, 2, 482.877907, 267541158
3, 0.880508, -110292, 0, ffffffff, soap, 1, 0, 0.180047, 0, 0, 1, 12, 239, -4008.469604, 8803780274595985
5, -8.459883, 13471, 1, ccb, volleyball, w, 0, 0.000007, 0, 0, 1, 0, 1, 0.000004, 84
3222, -1.504711, -38, 0, ffffffc6, oven, g, 0, -0.012877, 0, 1, 0, 0, 1, -0.093983, 1750565897073747
4960, 0.000387, 6, 1, fffe554c, government, ., 0, 3.220984, 0, 0, 1, 125, 28, -24.342476, 171416205100
11, -27.010229, -30222, 1, 5d4, birth, w, 1, 0.000001, 0, 0, 1, 27, 46, -0.000084, 391281
13, 4.519567, -409, 1, 5d624f, request, (, 0, -0.006515, 0, 1, 0, 17, 7, -3.247169, 2516246317
0, 0.000006, 1513, 0, 18057a, paper, I, 0, -0.001127, 0, 1, 1, 78, 2, 4.820812, 173
4556, 0.007915, -1381178, 1, ffffff67, game, 7, 1, 0.000063, 1, 0, 0, 42, 46, -0.009361, 554649642996
50, -0.000390, -30, 0, 12ca546, flavor, g, 0, 0.096046, 0, 1, 0, 15, 6, 0.000015, 554
1, -0.000122, -3284542, 1, fd9f411c, fang, m, 1, -0.000005, 1, 0, 0, 4, 56, 29.164001, 38533883680939
39, -0.000059, -385129, 0, 3e14e, moon, N, 1, -0.000000, 0, 1, 1, 3, 3, -8.396191, 87
2, -0.000009, -5, 1, 1383, expansion, U, 0, 0.764694, 0, 1, 1, 13, 7, -0.085899, 17279
26, 0.408249, -333, 1, bc8bb, zoo, u, 0, -4.318318, 1, 0, 0, 1, 1, 0.000004, 37
239, -15.948137, -37828, 0, ffc97cef, , N, 0, 20.473211, 1, 0, 1, 26, 6, 0.000084, 112318181565377056
151, -1.825033, 122889464, 0, c3c70a5d, experience, l, 1, -0.017099, 0, 0, 0, 111, 1, -0.004433, 2026
1474, 0.552387, 1613, 1, eb9e5847, , r, 0, -42.841603, 0, 0, 0, 28, 76, 0.000000, 246218363676
1, -0.000003, 32114736, 0, 3007, friends, U, 0, 2.008711, 1, 1, 1, 4, 5, -61.684040, 1956922696444809
96, -0.000000, -2, 1, 0, suggestion, =, 0, 0.621190, 1, 1, 0, 7, 62, -6.176765, 3228528599
495, -0.046223, -892504, 0, ffffffff, zebra, 9, 1, 0.000001, 0, 0, 1, 8, 13, -0.000732, 484086862205
2034, 0.000000, 47587745, 1, 2c318a4d, volcano, M, 0, -1.101346, 1, 1, 0, 50, 6, 1.058727, 88190205358730
4278, 13.601604, -2414390, 1, ff97295a, walk, 4, 1, -0.461824, 0, 1, 0, 21, 47, 0.003849, 8103882
153, 0.000006, 266866377, 0, 3, fight, ), 0, -0.000013, 1, 1, 1, 110, 30, -65.951885, 3710320
2, 0.016332, -16, 1, fffffec6, discussion, k, 1, -0.000000, 0, 1, 0, 81, 6, 64.799965, 9812589284
391, -0.000021, -2326, 0, fffffbd9, men, A, 0, -0.000951, 0, 0, 1, 1, 1, 1.723717, 77315341
109, -0.725268, 64769, 1, 1, bee, 5, 1, 0.000000, 0, 0, 0, 3, 6, 0.000000, 20961170
238, 0.000000, 441660232, 0, 1, regret, i, 0, -0.000000, 1, 0, 0, 1, 237, -3585.487621, 21171873442404
1, 0.000021, -56818, 0, 34a, toothpaste, r, 1, 0.000874, 0, 0, 0, 8, 12, 0.000145, 482120994960154
842, -0.000000, -1, 1, 1b, turn, P, 0, -62.204285, 0, 1, 1, 12, 0, -0.009869, 17194481542860
1, -0.000000, 1828, 0, 94841c9e, bath, +, 1, -0.089403, 0, 0, 0, 22, 29, -0.361786, 1918
0, -0.000042, 8156903, 0, fffc061f, start, ], 1, -3.259617, 0, 0, 1, 0, 5, -28.723309, 5195434
1, 0.000010, -214440808, 1, da31b, planes, =, 1, 0.001644, 0, 1, 1, 42, 7, 0.000000, 2113664204456102429
15749, -0.000012, -47669480, 1, ffffffbf, maid, c, 0, -0.013088, 1, 1, 1, 7, 5, 982.537876, 610
0, -0.000015, -82505, 1, fffcacaf, window, j, 0, -1.793503, 0, 0, 1, 0, 1, 0.107563, 3002020
13147, -2.039573, -233, 0, 14c448, noise, R, 0, 0.000058, 0, 0, 1, 43, 3, 1.016666, 2447
4289, -0.084624, 1844, 0, ffe73ea2, education, 1, 1, -0.000008, 1, 1, 0, 63, 16, 1.364445, 134417186870
2, -0.000000, 0, 0, fffff596, governor, ], 0, 0.000000, 0, 0, 0, 0, 7, -0.002750, 12
108, 0.000000, -1892, 0, 19, selection, S, 1, -0.005654, 1, 0, 1, 1, 1, 0.240170, 31783515
